Artist,Country,Period active,Release-year of first charted record,Genre,Total certified units (from available markets),Claimed sales
Drake,Canada,2001–present,2009,Hip-hop / R&B / pop,"412.7 million US: 324.78 million GER: 2.650 million UK: 56.46 million FRA: 3.649 million CAN: 9.720 million AUS: 5.610 million BRA: 390,000 ITA: 1.885 million SPA: 520,000 SWE: 1.310 million DEN: 2.865 million MEX: 1.2 million BEL: 315,000 AUT: 112,500 POL: 390,000 NZ: 562,500 POR: 350,000",170 million
Justin Bieber,Canada United States,2008–present,2009,Pop / teen pop / dance pop,"276.4 million US: 182 million JPN: 950,000 GER: 5.8 million UK: 36.285 million FRA: 2.247 million CAN: 9.380 million AUS: 9.240 million BRA: 1 million ITA: 3.015 million SPA: 1.4 million SWE: 2.910 million NOR: 3.960 million DEN: 5.5 million SWI: 175,000 MEX: 8.990 million BEL: 810,000 AUT: 327,500 POL: 870,000 NZ: 1.275 million POR: 325,000",150 million
U2,Ireland,1976–present,1980,Rock,"114.6 million US: 53.1 million JPN: 1.450 million GER: 5.8 million UK: 22.245 million FRA: 5.325 million CAN: 7.155 million AUS: 4.622 million BRA: 2.8 million NLD: 1.240 million ITA: 1.080 million SPA: 2.295 million SWE: 515,000 NOR: 150,000 DEN: 838,000 SWI: 771,000 MEX: 835,000 ARG: 966,000 BEL: 770,000 AUT: 522,500 POL: 370,000 FIN: 235,460 IRE: 316,000 NZ: 850,000 POR: 433,000",150 million
ABBA,Sweden,"1972–1982, 2016–present",1972,Pop / disco,"69 million US: 12.7 million JPN: 1.5 million GER: 11.1 million UK: 24.665 million FRA: 2.850 million CAN: 2.785 million AUS: 5.662 million BRA: 275,000 NLD: 1.390 million ITA: 175,000 SPA: 1.005 million SWE: 1.020 million DEN: 955,000 SWI: 600,000 MEX: 260,000 ARG: 238,000 BEL: 470,000 AUT: 197,500 POL: 230,000 FIN: 656,319 NZ: 297,500",150 million
Fleetwood Mac,United Kingdom United States,1967–present,1968,Rock / pop,"94.2 million US: 56.250 million GER: 3.5 million UK: 25.325 million FRA: 800,000 CAN: 2.950 million AUS: 3.327 million NLD: 590,000 SPA: 300,000 SWI: 100,000 DEN: 260,000 BEL: 100,000 NZ: 752,500",120 million
Bee Gees,United Kingdom Australia,1963–2003 2009–2012,1963,Pop / disco,"74.7 million US: 42.5 million JPN: 300,000 GER: 7.175 million UK: 12.525 million FRA: 3.4 million CAN: 4.215 million AUS: 1.987 million BRA: 350,000 ITA: 135,000 NLD: 540,000 SPA: 450,000 SWI: 415,000 ARG: 188,000 AUT: 125,000 POL: 100,000 NZ: 380,000",120 million
