Artist,Country,Period active,Release-year of first charted record,Genre,Total certified units (from available markets),Claimed sales
Garth Brooks,United States,1989–present,1989,Country,"165.3 million US: 158.4 million UK: 520,000 CAN: 5.730 million AUS: 595,000 IRE: 120,000",170 million
Kanye West,United States,1996–present,2003,Hip-hop / electronic / pop,"255.3 million US: 216.550 million JPN: 200,000 GER: 1.750 million UK: 29.060 million FRA: 225,000 CAN: 1.66 million AUS: 3.220 million ITA: 540,000 SWE: 300,000 DEN: 1.670 million NZ: 177,500",160 million
Billy Joel,United States,1964–present,1971,Pop / rock,"134.4 million US: 116.350 million JPN: 2 million GER: 1.250 million UK: 8.215 million FRA: 1.025 million CAN: 3.275 million AUS: 1.687 million NLD: 350,000 AUT: 125,000 NZ: 162,500",160 million
Bruno Mars,United States,2004–present,2010,Pop rock / R&B,"202.7 million US: 148.5 million JPN: 1.2 million GER: 3.8 million UK: 25.260 million FRA: 2.250 million CAN: 7 million AUS: 6.965 million BRA: 520,000 NLD: 105,000 ITA: 1.160 million SPA: 510,000 SWE: 440,000 DEN: 1.480 million SWI: 415,000 MEX: 1.230 million BEL: 360,000 AUT: 180,000 POL: 170,000 NZ: 712,500 PHL: 330,000 POR: 115,000",150 million
Bruce Springsteen,United States,1972–present,1973,Rock,"127.3 million US: 95.150 million JPN: 400,000 GER: 4.425 million UK: 11.150 million FRA: 2.037 million CAN: 3.2 million AUS: 3.537 million BRA: 100,000 NLD: 740,000 ITA: 740,000 SPA: 1.770 million SWE: 810,000 NOR: 340,000 DEN: 620,000 SWI: 535,000 MEX: 280,000 BEL: 230,000 AUT: 290,000 FIN: 449,800 IRE: 189,500 NZ: 375,000",150 million
Aerosmith,United States,1970–present,1973,Hard rock,"104.6 million US: 87.250 million JPN: 2.7 million GER: 2 million UK: 5.310 million FRA: 225,000 CAN: 3.950 million AUS: 365,000 BRA: 600,000 NLD: 200,000 ITA: 170,000 SPA: 200,000 SWE: 260,000 NOR: 150,000 DEN: 195,000 SWI: 145,000 MEX: 230,000 ARG: 338,000 AUT: 125,000 POL: 100,000 FIN: 101,722",150 million
Barbra Streisand,United States,1960–present,1963,Pop / adult contemporary,"98.4 million US: 82.450 million GER: 750,000 UK: 5.825 million FRA: 3.250 million CAN: 2.650 million AUS: 2.222 million NLD: 710,000 SPA: 150,000 SWE: 120,000 FIN: 186,501 NZ: 142,500",150 million
Frank Sinatra,United States,"1935–1971, 1973-1995",1940,Pop / swing / easy listening,"40.2 million US: 28.2 million GER: 1 million UK: 7.685 million FRA: 600,000 CAN: 650,000 AUS: 315,000 BRA: 350,000 ITA: 600,000 SPA: 500,000 SWE: 130,000 ARG: 188,000",150 million
Katy Perry,United States,2001–present,2008,Pop,"172.3 million US: 127.4 million JPN: 400,000 GER: 4 million UK: 19.1 million FRA: 867,000 CAN: 6.360 million AUS: 6.840 million BRA: 685,000 ITA: 930,000 SPA: 180,000 SWE: 600,000 NOR: 2.450 million DEN: 600,000 SWI: 160,000 MEX: 1.080 million BEL: 135,000 AUT: 247,500 NZ: 360,000",143 million
Chris Brown,United States,2005–present,2005,Pop / R&B / hip-hop,"198.7 million US: 165.350 million JPN: 500,000 GER: 800,000 UK: 20.320 million FRA: 100,000 CAN: 1.910 million AUS: 6.055 million BRA: 670,000 SPA: 140,000 ITA: 175,000 SWE: 370,000 NOR: 315,000 DEN: 897,500 SWI: 100,000 MEX: 640,000 NZ: 437,500",140 million
Jay-Z,United States,1996–present,1996,Hip-hop,"136.4 million US: 108.7 million JPN: 1.050 million GER: 2.3 million UK: 17.980 million FRA: 650,000 CAN: 2.450 million AUS: 1.890 million BRA: 110,000 ITA: 335,000 SPA: 380,000 SWE: 210,000 DEN: 275,000 BEL: 100,000",125 million
Metallica,United States,1981–present,1983,Heavy metal / thrash metal,"105.6 million US: 73.3 million JPN: 900,000 GER: 10.025 million UK: 5.535 million FRA: 940,000 CAN: 3.885 million AUS: 3.407 million BRA: 380,000 NLD: 460,000 ITA: 265,000 SPA: 420,000 SWE: 675,000 NOR: 320,000 DEN: 500,000 SWI: 560,000 MEX: 430,000 ARG: 874,000 BEL: 385,000 AUT: 340,000 POL: 1.195 million FIN: 530,676 NZ: 335,000",125 million
Lady Gaga,United States,2005–present,2008,Pop / dance / electronic,"158.6 million US: 105 million JPN: 5.4 million GER: 4.5 million UK: 21.785 million FRA: 3.403 million CAN: 3.640 million AUS: 4.545 million BRA: 470,000 NLD: 130,000 ITA: 1.665 million SPA: 630,000 SWE: 680,000 NOR: 2.470 million DEN: 1.135 million SWI: 555,000 MEX: 420,000 BEL: 485,000 AUT: 227,500 POL: 755,000 IRE: 165,000 NZ: 472,500 POR: 120,000",124 million
Lil Wayne,United States,1996–present,1999,Hip-hop,"188.7 million US: 180 million GER: 300,000 UK: 6.6 million FRA: 100,000 CAN: 360,000 AUS: 1.2 million DEN: 190,000",120 million
Maroon 5,United States,1994–present,2002,Pop rock / funk rock / dance-pop,"142.6 million US: 98.5 million JPN: 2.250 million GER: 3.150 million UK: 17 million FRA: 1.625 million CAN: 5.965 million AUS: 4.305 million BRA: 1.050 million ITA: 1.365 million SPA: 350,000 SWE: 850,000 DEN: 1.192 million MEX: 4.055 million SWI: 100,000 BEL: 185,000 POL: 240,000 NZ: 450,000",120 million
Red Hot Chili Peppers,United States,1983–present,1987,Funk rock / alternative rock,"99.8 million US: 66.250 million JPN: 2.6 million GER: 3.450 million UK: 15.095 million FRA: 1.520 million CAN: 2.020 million AUS: 2.625 million BRA: 1 million NLD: 660,000 ITA: 785,000 SPA: 640,000 SWE: 390,000 DEN: 720,000 SWI: 405,000 MEX: 150,000 BEL: 195,000 ARG: 406,000 AUT: 247,500 POL: 270,000 FIN: 171,951 NZ: 285,000",120 million
Bon Jovi,United States,1983–present,1983,Hard rock / glam metal,"88.7 million US: 49.9 million JPN: 4.4 million GER: 5.650 million UK: 12.190 million FRA: 825,000 CAN: 4.735 million AUS: 3.835 million BRA: 435,000 NLD: 710,000 ITA: 215,000 SPA: 1.620 million SWE: 365,000 DEN: 185,000 SWI: 1.275 million MEX: 250,000 ARG: 358,000 BEL: 290,000 AUT: 725,000 POL: 120,000 FIN: 422,500 NZ: 210,000",120 million
