Artist,Country,Period active,Release-year of first charted record,Genre,Total certified units (from available markets),Claimed sales
Elvis Presley,United States,1954–1977,1956,Rock and roll / pop / country,"231 million US: 199.650 million JPN: 300,000 GER: 1.2 million UK: 19.515 million FRA: 2.590 million CAN: 2.925 million AUS: 1.867 million BRA: 125,000 NLD: 555,000 ITA: 150,000 SPA: 300,000 SWE 380,000 NOR: 130,000 DEN: 210,000 SWI: 185,000 MEX: 105,000 ARG: 110,000 BEL: 115,000 AUT: 205,000 FIN: 213,945 NZ: 117,500 POR: 100,000",500 million
Michael Jackson,United States,1964–2009,1971,Pop / rock / dance / soul / R&B,"276.6 million US: 177.3 million JPN: 4.650 million GER: 11.275 million UK: 39.320 million FRA: 11.6 million CAN: 4.860 million AUS: 6.915 million BRA: 280,000 NLD: 2.2 million ITA: 1.310 million SPA: 1.995 million SWE: 1.330 million NOR: 275,000 DEN: 2.184 million SWI: 1.010 million MEX: 5.6 million ARG: 664,000 BEL: 695,000 AUT: 1.197 million POL: 530,000 FIN: 384,127 NZ: 912,500 POR: 125,000",400 million
Madonna,United States,1979–present,1983,Pop / dance / electronica,"181.7 million US: 85.675 million JPN: 6.450 million GER: 12.650 million UK: 31.445 million FRA: 12.905 million CAN: 6.030 million AUS: 5.387 million BRA: 3.490 million NLD: 1.745 million ITA: 3.375 million SPA: 3.015 million SWE: 1.070 million NOR: 280,000 DEN: 747,000 SWI: 1.280 million MEX: 550,000 ARG: 2.102 million BEL: 1.035 million AUT: 645,000 POL: 590,000 FIN: 665,267 NZ: 430,000 POR: 142,000",300 million 250 million
