Artist,Country,Period active,Release-year of first charted record,Genre,Total certified units (from available markets),Claimed sales
Eminem,United States,1996–present,1999,Hip-hop,"325.7 million US: 241.7 million JPN: 2.9 million GER: 8.1 million UK: 45.025 million FRA: 3.665 million CAN: 4.570 million AUS: 10.307 million BRA: 300,000 NLD: 250,000 ITA: 1.350 million SPA: 290,000 SWE: 970,000 NOR: 345,000 DEN: 2.426 million SWI: 790,000 MEX: 365,000 BEL: 515,000 AUT: 377,500 POL: 310,000 FIN: 130,351 IRE: 270,000 NZ: 712,500 POR: 105,000",220 million
Mariah Carey,United States,1988–present,1990,R&B / pop / soul / hip-hop,"201.6 million US: 146.8 million JPN: 14.5 million GER: 4.3 million UK: 15.260 million FRA: 4.690 million CAN: 4.1 million AUS: 5.580 million BRA: 875,000 NLD: 1.425 million ITA: 145,000 SPA: 1.1 million SWE: 425,000 NOR: 575,000 DEN: 465,000 SWI: 515,000 BEL: 325,000 AUT: 200,000 POL: 100,000 NZ: 267,500",220 million
Taylor Swift,United States,2006–present,2006,Pop / country / rock / folk / alternative,"246.4 million US: 196 million JPN: 3.3 million GER: 2.050 million UK: 24.1 million FRA: 450,000 CAN: 6.060 million AUS: 8.740 million BRA: 670,000 ITA: 455,000 SPA: 140,000 SWE: 320,000 NOR: 1.2 million DEN: 1.005 million MEX: 510,000 BEL: 300,000 AUT: 130,000 POL: 370,000 NZ: 607,500",200 million 170 million
Beyoncé,United States,1997–present,2002,R&B / pop,"223.3 million US: 171.830 million JPN: 1.7 million GER: 1.7 million UK: 28.030 million FRA: 660,000 CAN: 6.975 million AUS: 7.410 million BRA: 920,000 NLD: 135,000 ITA: 465,000 SPA: 1.310 million SWE: 340,000 NOR: 235,000 DEN: 779,000 SWI: 165,000 MEX: 140,000 BEL: 155,000 POL: 150,000 NZ: 262,500",200 million 160 million
Whitney Houston,United States,1977–2012,1984,R&B / soul / pop / gospel,"155.1 million US: 107.375 million JPN: 4.3 million GER: 5.6 million UK: 19.945 million FRA: 3.625 million CAN: 3.750 million AUS: 2.245 million BRA: 1.065 million NLD: 780,000 ITA: 265,000 SPA: 1.260 million SWE: 1.035 million NOR: 480,000 DEN: 655,000 SWI: 915,000 ARG: 240,000 BEL: 480,000 AUT: 565,000 POL: 240,000 FIN: 247,222 NZ: 107,500",200 million
Eagles,United States,"1971–1980, 1994–present",1972,Rock,"152 million US: 127.9 million JPN: 600,000 GER: 925,000 UK: 9.985 million FRA: 2.040 million CAN: 4.2 million AUS: 4.025 million NLD: 540,000 ITA: 200,000 SPA: 500,000 SWE: 140,000 DEN: 240,000 SWI: 290,000 FIN: 124,749 NZ: 367,500",200 million
