Artist,Country,Period active,Release-year of first charted record,Genre,Total certified units (from available markets),Claimed sales
Coldplay,United Kingdom,1996–present,1999,Alternative rock / pop rock / pop,"108.4 million US: 38.6 million JPN: 750,000 GER: 5.450 million UK: 37.505 million FRA: 3.353 million CAN: 3.930 million AUS: 4.285 million BRA: 640,000 NLD: 410,000 ITA: 3.575 million SPA: 1.270 million SWE: 750,000 NOR: 260,000 DEN: 1.749 million SWI: 580,000 MEX: 2.4 million ARG: 528,000 BEL: 785,000 AUT: 242,500 POL: 570,000 IRE: 210,000 NZ: 352,500 POR: 251,500",100 million
Eric Clapton,United Kingdom,1962–present,1970,Rock / blues,"71.6 million US: 47.7 million JPN: 3.950 million GER: 3.030 million UK: 7.790 million FRA: 1.475 million CAN: 2.275 million AUS: 1.115 million BRA: 715,000 NLD: 745,000 ITA: 120,000 SPA: 700,000 SWE: 320,000 DEN: 170,000 SWI: 385,000 ARG: 420,000 BEL: 125,000 AUT: 285,000 POL: 145,000 FIN: 129,679 NZ: 102,500",100 million
Paul McCartney,United Kingdom,1960–present,1970,Rock,"66 million US: 44.450 million JPN: 500,000 GER: 1.925 million UK: 13.925 million FRA: 1.305 million CAN: 1.955 million AUS: 745,000 SPA: 640,000 SWE: 210,000 DEN: 405,000",100 million
George Michael,United Kingdom,1981–2016,1984,Pop,"52.8 million US: 20.8 million JPN: 300,000 GER: 2.4 million UK: 17.110 million FRA: 3.217 million CAN: 1.870 million AUS: 2.205 million BRA: 390,000 NLD: 1.190 million ITA: 115,000 SPA: 850,000 SWE: 310,000 NOR: 160,000 DEN: 520,000 SWI: 335,000 ARG: 118,000 BEL: 315,000 AUT: 140,000 POL: 340,000 NZ: 140,000",100 million
Dire Straits,United Kingdom,1977–1995,1978,Rock,"51.7 million US: 15.5 million GER: 3.750 million UK: 13.625 million FRA: 7.305 million CAN: 2.575 million AUS: 2.190 million BRA: 175,000 NLD: 900,000 ITA: 1.135 million SPA: 1.380 million SWE: 360,000 DEN: 495,000 SWI: 1 million BEL: 300,000 AUT: 400,000 FIN: 471,530 NZ: 155,000",100 million
Def Leppard,United Kingdom,1977–present,1979,Hard rock / heavy metal,"42.6 million US: 36.150 million JPN: 300,000 UK: 2.120 million FRA: 200,000 CAN: 2.995 million AUS: 407,500 SWE: 150,000 SWI: 125,000 MEX: 200,000",100 million
Genesis,United Kingdom,1967–1999 2006–present,1969,Progressive rock / pop rock,"40.3 million US: 21.650 million JPN: 100,000 GER: 5.875 million UK: 7.565 million FRA: 3.260 million CAN: 805,000 NLD: 300,000 SPA: 250,000 SWE: 100,000 SWI: 450,000",100 million
David Bowie,United Kingdom,1962–2016,1967,Art rock / glam rock / pop,"41.5 million US: 15.7 million JPN: 200,000 GER: 525,000 UK: 17.995 million FRA: 2.430 million CAN: 2.315 million AUS: 845,000 NLD: 465,000 ITA: 570,000 SPA: 170,000 DEN: 200,000 NZ: 142,500",100 million
