Artist,Country,Period active,Release-year of first charted record,Genre,Total certified units (from available markets),Claimed sales
Ed Sheeran,United Kingdom,2004–present,2011,Pop / folk pop,"246.1 million US: 101 million JPN: 350,000 GER: 13.150 million UK: 78.520 million FRA: 4.156 million CAN: 12.640 million AUS: 13.865 million BRA: 720,000 NLD: 370,000 ITA: 4.855 million SPA: 1.340 million SWE: 1.680 million NOR: 395,000 DEN: 6.010 million SWI: 675,000 MEX: 270,000 BEL: 860,000 AUT: 865,000 POL: 2.320 million NZ: 1.785 million POR: 330,000",150 million
Phil Collins,United Kingdom,"1980–2011, 2015–present",1981,Rock / progressive rock / adult contemporary,"99.4 million US: 44.850 million JPN: 800,000 GER: 14.3 million UK: 18.450 million FRA: 6.410 million CAN: 3.875 million AUS: 1.595 million BRA: 1.370 million NLD: 1.150 million ITA: 425,000 SPA: 2.150 million SWE: 245,000 DEN: 345,000 SWI: 973,000 ARG: 1.144 million BEL: 355,000 AUT: 465,000 FIN: 182,581 NZ: 140,000 POR: 208,000",150 million
Adele,United Kingdom,2006–present,2008,Pop / soul,"133.5 million US: 68 million JPN: 100,000 GER: 4.7 million UK: 33.450 million FRA: 738,333 CAN: 8.900 million AUS: 4.585 million BRA: 1.950 million NLD: 380,000 ITA: 1.845 million SPA: 860,000 SWE: 510,000 NOR: 835,000 DEN: 1.577 million MEX: 2.370 million SWI: 600,000 BEL: 835,000 POL: 340,000 FIN: 151,639 NZ: 727,500 POR: 110,000",120 million
Rod Stewart,United Kingdom,1964–present,1969,Rock / pop,"84.9 million US: 46.650 million JPN: 500,000 GER: 4.050 million UK: 20.790 million FRA: 1.8 million CAN: 4.055 million AUS: 3.660 million BRA: 980,000 NLD: 140,000 SPA: 290,000 SWE: 440,000 DEN: 120,000 SWI: 100,000 ARG: 524,000 AUT: 175,000 POL: 220,000 IRE: 195,000 NZ: 285,000",120 million
