Artist,Country,Period active,Release-year of first charted record,Genre,Total certified units (from available markets),Claimed sales
The Weeknd,Canada,2010–present,2013,Pop / R&B,"199.4 million US: 138.860 million GER: 4.8 million UK: 24.960 million FRA: 3.033 million CAN: 9.880 million AUS: 5.320 million BRA: 320,000 ITA: 1.810 million SPA: 960,000 SWE: 2.180 million NOR: 940,000 DEN: 3.130 million MEX: 1.070 million BEL: 570,000 AUT: 120,000 POL: 775,000 NZ: 442,500 POR: 295,000",75 million
Enya,Ireland,1982–present,1987,New-age / Celtic,"51.9 million US: 26.5 million JPN: 4.6 million GER: 4.3 million UK: 6.010 million FRA: 775,000 CAN: 1.540 million AUS: 1.680 million BRA: 1.650 million NLD: 730,000 SPA: 1.760 million SWE: 390,000 DEN: 150,000 SWI: 370,000 MEX: 125,000 ARG: 390,000 BEL: 510,000 AUT: 185,000 POL: 120,000 NZ: 135,000",75 million
Bryan Adams,Canada,1979–present,1979,Rock,"49.9 million US: 22 million JPN: 650,000 GER: 4.450 million UK: 10.775 million FRA: 650,000 CAN: 5.120 million AUS: 2.080 million BRA: 100,000 NLD: 500,000 SPA: 450,000 SWE: 440,000 NOR: 185,000 DEN: 380,000 SWI: 805,000 BEL: 375,000 AUT: 400,000 POL: 110,000 FIN: 183,444 POR: 286,000",75 million
Bob Marley,Jamaica,1962–1981,1975,Reggae,"46.3 million US: 21.850 million JPN: 200,000 GER: 1.750 million UK: 13.640 million FRA: 4.735 million CAN: 600,000 AUS: 490,000 NLD: 420,000 ITA: 410,000 SPA: 500,000 SWE: 120,000 DEN: 160,000 SWI: 303,000 ARG: 376,000 BEL: 225,000 AUT: 125,000 NZ: 432,500",75 million
