Artist,Country,Period active,Release-year of first charted record,Genre,Total certified units (from available markets),Claimed sales
The Beatles,United Kingdom,1960–1970,1962,Rock / pop,"290.2 million US: 217.250 million JPN: 4.950 million GER: 8 million UK: 30.145 million FRA: 3.990 million CAN: 14.455 million AUS: 3.060 million BRA: 550,000 NLD: 345,000 ITA: 640,000 SPA: 1.250 million SWE: 485,000 NOR: 200,000 DEN: 610,000 SWI: 350,000 ARG: 1.926 million BEL: 440,000 AUT: 500,000 POL: 175,000 FIN: 118,048 NZ: 660,000 POR: 135,000",600 million 500 million
Elton John,United Kingdom,1964–present,1970,Pop / rock,"208 million US: 138.050 million JPN: 1.1 million GER: 7.9 million UK: 34.705 million FRA: 5.158 million CAN: 6.055 million AUS: 4.697 million BRA: 835,000 NLD: 975,000 ITA: 300,000 SPA: 1.380 million SWE: 980,000 NOR: 400,000 DEN: 825,000 SWI: 1.333 million MEX: 450,000 ARG: 128,000 BEL: 850,000 AUT: 915,000 POL: 445,000 FIN: 163,481 NZ: 420,000",300 million 250 million
Queen,United Kingdom,1971–present,1973,Rock,"184 million US: 97.7 million JPN: 3.8 million GER: 12.525 million UK: 45.010 million FRA: 5.220 million CAN: 2.470 million AUS: 3.792 million BRA: 970,000 NLD: 1.990 million ITA: 1.870 million SPA: 1.920 million SWE: 190,000 NOR: 150,000 DEN: 1.170 million SWI: 1.256 million ARG: 1.080 million BEL: 190,000 AUT: 900,000 POL: 940,000 FIN: 366,152 NZ: 515,000 POR: 222,000",300 million 250 million
Led Zeppelin,United Kingdom,1968–1980,1969,Hard rock / blues rock / folk rock,"142.4 million US: 115.1 million JPN: 400,000 GER: 3.775 million UK: 10.730 million FRA: 2.310 million CAN: 4.710 million AUS: 2.8 million BRA: 970,000 ITA: 535,000 SPA: 450,000 SWI: 211,000 ARG: 360,000 POL: 120,000",300 million 200 million
Pink Floyd,United Kingdom,"1965–1996, 2005, 2012–2014",1967,Progressive rock / psychedelic rock,"123.5 million US: 78 million JPN: 100,000 GER: 7.5 million UK: 14.010 million FRA: 6.260 million CAN: 6.790 million AUS: 3.242 million BRA: 515,000 NLD: 435,000 ITA: 1.810 million SPA: 625,000 SWE: 220,000 NOR: 165,000 DEN: 290,000 SWI: 390,000 MEX: 210,000 ARG: 582,000 BEL: 165,000 AUT: 460,000 POL: 770,000 NZ: 787,500 POR: 194,500",250 million 200 million
