Artist,Country,Period active,Release-year of first charted record,Genre,Total certified units (from available markets),Claimed sales
Robbie Williams,United Kingdom,1990–present,1996,Pop rock,"55.8 million US: 500,000 GER: 10.575 million UK: 29.750 million FRA: 2.695 million CAN: 250,000 AUS: 2.905 million NLD: 1.205 million ITA: 470,000 SPA: 440,000 SWE: 445,000 DEN: 811,500 SWI: 1.018 million MEX: 1.595 million ARG: 462,000 BEL: 600,000 AUT: 932,500 POL: 140,000 FIN: 235,743 IRE: 135,000 NZ: 445,000 POR: 280,000",75 million
The Police,United Kingdom,1977–1986 2007–2008,1978,Pop / rock,"42.2 million US: 23.650 million JPN: 100,000 GER: 1.775 million UK: 10.260 million FRA: 3.340 million CAN: 875,000 AUS: 527,500 BRA: 140,000 NLD: 350,000 ITA: 205,000 SPA: 350,000 SWI: 100,000 MEX: 100,000 ARG: 228,000 BEL: 115,000 NZ: 105,000",75 million
