Artist,Country,Period active,Release-year of first charted record,Genre,Total certified units (from available markets),Claimed sales
Nicki Minaj,Trinidad and Tobago,2008–present,2010,Hip-hop / pop,"156.3 million US: 114.460 million JPN: 550,000 GER: 2.450 million UK: 19.8 million FRA: 1.099 million CAN: 2.960 million AUS: 4.235 million BRA: 470,000 ITA: 775,000 SPA: 580,000 SWE: 420,000 NOR: 595,000 DEN: 385,000 SWI: 180,000 MEX: 6.9 million POL: 185,000 NZ: 247,500",100 million
B'z,Japan,1988–present,1988,Rock / pop rock / hard rock,86.2 million JPN: 86.250 million,100 million
Shania Twain,Canada,1993–present,1993,Country pop,"84.8 million US: 59.9 million JPN: 400,000 GER: 1.750 million UK: 8.755 million FRA: 975,000 CAN: 6.880 million AUS: 2.850 million BRA: 475,000 NLD: 540,000 SPA: 100,000 SWE: 330,000 NOR: 430,000 DEN: 210,000 SWI: 310,000 MEX: 100,000 ARG: 120,000 BEL: 250,000 AUT: 115,000 NZ: 402,500",100 million
Julio Iglesias,Spain,1968–present,1968,Latin,"51.7 million US: 11 million JPN: 800,000 GER: 250,000 UK: 1.620 million FRA: 6.1 million CAN: 1.5 million AUS: 505,000 BRA: 12.475 million NLD: 1.2 million ITA: 435,000 SPA: 8.8 million SWE: 290,000 MEX: 2.975 million ARG: 3.220 million BEL: 125,000 FIN: 131,636 POR: 288,000",100 million
Foreigner,United States United Kingdom,1976–present,1977,Rock / hard rock,"50.4 million US: 45.1 million GER: 1.5 million UK: 2.3 million FRA: 400,000 CAN: 700,000 AUS: 140,000 NLD: 150,000 SWI: 125,000",100 million
Olivia Newton-John,Australia,1966–2022,1966,Pop,"36.1 million US: 27 million JPN: 100,000 GER: 500,000 UK: 3.950 million FRA: 1 million CAN: 3.025 million AUS: 450,000 NLD: 150,000",100 million
