Artist,Country,Period active,Release-year of first charted record,Genre,Total certified units (from available markets),Claimed sales
Celine Dion,Canada,1981–present,1981,Pop / Rock,"137.3 million US: 61.550 million JPN: 7.150 million GER: 8 million UK: 16.115 million FRA: 15.918 million CAN: 12.485 million AUS: 3.827 million BRA: 505,000 NLD: 2.180 million SPA: 1 million SWE: 1.105 million NOR: 860,000 DEN: 800,000 SWI: 1.685 million ARG: 340,000 BEL: 2.160 million AUT: 440,000 POL: 700,000 FIN: 356,183 NZ: 192,500",200 million 175 million
AC/DC,Australia,1973–present,1975,Hard rock / blues rock / rock and roll,"130 million US: 87.2 million GER: 10.5 million UK: 9.765 million FRA: 4.380 million CAN: 2.490 million AUS: 8.335 million ITA: 1.060 million SPA: 1.375 million SWE: 350,000 DEN: 500,000 SWI: 914,000 MEX: 1.56 million ARG: 594,000 BEL: 100,000 AUT: 395,000 POL: 115,000 FIN: 321,169 NZ: 140,000",200 million
